Bot,Domain,Class,Feature Group,Relation,Description,Notes,Comment,Code,
Paradot,Social Companion,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,x,
Paradot,Social Companion,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,advert for better model,x,
Paradot,Social Companion,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,x,
Paradot,Social Companion,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,x,
Replika,Social Companion,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
Replika,Social Companion,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,image works but explicitly gifs does not,o,
Replika,Social Companion,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,o,
Replika,Social Companion,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,o,
Replika,Social Companion,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,o,
Replika,Social Companion,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,,o,
Replika,Social Companion,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,o,
Replika,Social Companion,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,"too persistent, not interaction based",o,
Replika,Social Companion,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,,o,
Replika,Social Companion,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,,o,
Replika,Social Companion,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,o,
Replika,Social Companion,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Replika,Social Companion,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Replika,Social Companion,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,,o,
Replika,Social Companion,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,o,
Replika,Social Companion,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
Replika,Social Companion,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
Replika,Social Companion,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,,x,
Replika,Social Companion,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,,x,
Replika,Social Companion,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,,x,
Replika,Social Companion,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,,x,
Replika,Social Companion,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,"copy or report message, see emoji chat message , laura ",x,
Replika,Social Companion,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,,x,
Replika,Social Companion,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,extra features and upgrades are always on top as a menu,x,
Replika,Social Companion,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,,x,
Replika,Social Companion,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,x,
Replika,Social Companion,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,we also count pop up info and not just persistent banners,x,
Replika,Social Companion,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,x,
Rocky,Education,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,,o,
Rocky,Education,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
Rocky,Education,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,,o,
Rocky,Education,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,o,
Rocky,Education,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,,o,
Rocky,Education,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,not consistent or not available anymore,o,
Rocky,Education,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,"not full introduction, but hints for what to do",o,"new class: Introduction, A mandatory conversation at the very beginning to gather information about the user, app’s preferences and the application context to optimize the chat experience. Part of superclass “Setup” together with functionality introduction, "
Rocky,Education,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Rocky,Education,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Rocky,Education,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,o,
Rocky,Education,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,,o,
Rocky,Education,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,o,
Rocky,Education,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
Rocky,Education,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
Rocky,Education,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,,x,
Rocky,Education,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,,x,
Rocky,Education,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,Leading to another page within the app,x,
Rocky,Education,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,,x,
Rocky,Education,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,x,
Rocky,Education,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,x,
Rocky,Education,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,"regenerate, see Chat Messages",x,
Rocky,Education,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,,x,
Rocky,Education,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,,x,
Rocky,Education,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,Quick Reply/Message Reaction leading to another menu,x,
Rocky,Education,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,,x,
Rocky,Education,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,x,
Rocky,Education,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,Info Pop-up in chat style,x,
Rocky,Education,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,x,
SeniorTalk,Health,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,o,
SeniorTalk,Health,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,o,
SeniorTalk,Health,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,o,
SeniorTalk,Health,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,,o,
SeniorTalk,Health,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,,o,
SeniorTalk,Health,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,,o,
SeniorTalk,Health,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
SeniorTalk,Health,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
SeniorTalk,Health,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,information provided by Whatsapp and not chatbot itself,o,
SeniorTalk,Health,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,upload possible but no reaction,o,
SeniorTalk,Health,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,o,
SeniorTalk,Health,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
SeniorTalk,Health,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
SeniorTalk,Health,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,,x,
SeniorTalk,Health,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,,x,
SeniorTalk,Health,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
SeniorTalk,Health,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,,x,
SeniorTalk,Health,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,,x,
SeniorTalk,Health,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,,x,
SeniorTalk,Health,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,,x,
SeniorTalk,Health,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,x,
SeniorTalk,Health,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,"delete or forward or reply directly to message, see message reactiona nina",x,
SeniorTalk,Health,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,,x,
SeniorTalk,Health,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,,x,
SeniorTalk,Health,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,,x,
SeniorTalk,Health,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,x,
SeniorTalk,Health,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,x,
SeniorTalk,Health,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,x,
Supetutor,Education,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
Supetutor,Education,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,,o,
Supetutor,Education,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,o,
Supetutor,Education,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,o,
Supetutor,Education,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,o,
Supetutor,Education,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,,o,
Supetutor,Education,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,o,
Supetutor,Education,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,,o,
Supetutor,Education,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,does not hold anymore because of new class message action,o,
Supetutor,Education,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,,o,
Supetutor,Education,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,o,
Supetutor,Education,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Supetutor,Education,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Supetutor,Education,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,,o,
Supetutor,Education,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,o,
Supetutor,Education,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
Supetutor,Education,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
Supetutor,Education,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,,x,
Supetutor,Education,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,,x,
Supetutor,Education,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,,x,
Supetutor,Education,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,,x,
Supetutor,Education,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,"copy or read out loud, message reaction johanna",x,
Supetutor,Education,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,,x,
Supetutor,Education,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,,x,
Supetutor,Education,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,definition might need to be adjusted to also include context-dependent help that is not implemented through a menu (instead just as text in the ui that appears),x,
Supetutor,Education,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,in sidebar,x,
Supetutor,Education,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,,x,
Supetutor,Education,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,,x,
Talkpal,Education,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,,o,
Talkpal,Education,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
Talkpal,Education,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,,o,
Talkpal,Education,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,o,
Talkpal,Education,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,o,
Talkpal,Education,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,,o,
Talkpal,Education,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,o,
Talkpal,Education,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,,o,
Talkpal,Education,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,,o,
Talkpal,Education,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,,o,
Talkpal,Education,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,o,
Talkpal,Education,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,Skip Voice Answer,o,
Talkpal,Education,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Talkpal,Education,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,o,
Talkpal,Education,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,,o,
Talkpal,Education,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,,o,
Talkpal,Education,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,o,
Talkpal,Education,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
Talkpal,Education,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
Talkpal,Education,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,"Chat Bubbles, user and bot",x,
Talkpal,Education,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,Voice message by user + voice by chatbot in text mode by default,x,
Talkpal,Education,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,x,
Talkpal,Education,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,"regenerate and translate, chat message",x,
Talkpal,Education,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,,x,
Talkpal,Education,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,,x,
Talkpal,Education,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,Regenerate + Translation - more of an interraction instead of a typical reaction,x,
Talkpal,Education,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,Another question + Suggest Answer + correction of user input,x,
Talkpal,Education,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,Only in the header,x,
Wysa,Health,Quick Start Button ,Extended Interactions,"type of functionality introduction but implemented similar to call on menu but before first chat messages

also a kind of help system?","A set of action buttons to start a conversation that is focused on specific topics or actions, like making a plan or creating an image.",,,o,
Wysa,Health,Image Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an image.,,,o,
Wysa,Health,Video Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a video.,,,o,
Wysa,Health,Sticker Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a Sticker.,,,o,
Wysa,Health,Voice Chat Message,Chat  Content,subclass of Chat Messages,"A voice-based message transferred via call, voice-to-text, or voice message.",,,o,
Wysa,Health,Web Preview Chat Message,Chat  Content,subclass of Chat Messages,A preview on web content from other providers or the chatbot homepage itself.,,,o,
Wysa,Health,Message Action,Extended Interactions,,"Emojis or menus beside or under a chat to act on the chatbot’s message, like copying, regenerating, playing, flagging or sharing the message.",,,o,
Wysa,Health,Persistent Menu,System Features,one possible menu variant next to call on,A constant menu in the chat window for important information or settings.,,,o,
Wysa,Health,Functionality Introduction,System Features,sent via the first chat messages,Introducing the main functionalities or providing a tutorial in the first chat messages. ,,,o,
Wysa,Health,Conversation Recovery,Meta Conversation,implemented by call on menu,Avoiding conversation breakdowns by providing possible actions or commands.,,"gibberish content or content in Spanish is just ignored, “calender speaking” is continued",o,
Wysa,Health,Dialog Reload,Meta Conversation,type of conversation recovery,Avoiding conversation breakdowns by providing possible actions or commands.,,,o,
Wysa,Health,Information Stamp,System Features,,"Inclusion of contextual information such as the time, date, and sender associated with chat messages, displayed above or below the message.",,,o,
Wysa,Health,Extended Input,Extended Interactions,,"A possibility to upload extra information in form of documents or media. It can also be a request for specific actions of chatbot, like generating an image or a story.",,,o,
Wysa,Health,Input Adjustment,Extended Interactions,maybe related to additional input (e.g. can be in the same menu),"A request for how the chatbot should generate answers, e.g. answering ""thinking"" mode versus giving a fast response.",,,o,
Wysa,Health,Interactive Canvas,Extended Interactions,,"A shared graphical or text-based workspace for collaboration, e.g. for writing code or drawing together with the chatbot.",,,o,
Wysa,Health,Message Completion,Chat  Content,,Suggestions for completion of the chat message when typing a request. This feature is also found in search engines.,,,o,
Wysa,Health,Text Chat Message,Chat  Content,subclass of Chat Messages,"Displaying outputs from chatbot and user, most often as speech bubbles.",,user and bot,x,
Wysa,Health,GIF Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of a GIF.,,only from bot,x,
Wysa,Health,Emoji Chat Message,Chat  Content,subclass of Chat Messages,A message containing or only consisting of an emoji or emoticon.,,"only from bot, except for first input (how are you feeling)",x,
Wysa,Health,Carousel Chat Message,Chat  Content,subclass of Chat Messages,A set of similar items presented in a horizontal list.,,,x,
Wysa,Health,Accordion,Chat  Content,subclass of Chat Messages,"Used to hide information to save space, either shortening long messages or summarizing multiple results. Some chatbots also include a similar option to show more Quick Reply for the users.",,Quick Replies,x,
Wysa,Health,Quick Reply,Chat  Content,subclass of Chat Messages,A set of actions or functionalities under a chat message in the form of buttons.,,,x,
Wysa,Health,Processing Indicator,System Features,,A visual representation of the waiting time for the reply of the chatbot.,,"typing indicator, but also text slowly appearing",x,
Wysa,Health,Call-on Menu,Meta Conversation,one possible menu variant next to persistent,A dynamic representation of consistent information which was requested by the user. ,,Quick Reply + Exercise Suggestions,x,
Wysa,Health,Message Reaction,Extended Interactions,always related to chatbot message,Emojis beside or under a chat message to provide feedback on the answer of the chatbot.,,,x,
Wysa,Health,Help System,Meta Conversation,implemented by call-on menu or persistent menu,"Offering assistance for users, either on request or proactively by the chatbot. ",,"Quick Reply, Hint how to activate Message Reaction",x,
Wysa,Health,System Information,System Features,,"Information provided outside the conversation, such as data protection notices in form of pop-ups banners or like “news tickers” above or underneath the respective footer or header of the chatbot.",,,x,
Wysa,Health,Avatar,System Features,,"A digital representation of a human user that facilitates interaction with other users, entities, or the environment.",,"Occurs also as gif in the chat, only in the header",x,
